actual_points,fumbles,fumbles_proj,name,point_diff,position,position_rank,pro_team,projected_points,rec_2pt_conversion,rec_2pt_conversion_proj,rec_avg_yards,rec_avg_yards_proj,rec_tds,rec_tds_proj,rec_yards,rec_yards_proj,receptions,receptions_proj,targets,targets_proj,week,weekly_outlook
16.0,0.0,0.045307171,Michael Thomas,-3.4899999999999984,WR,1,NO,19.49,0.0,0.023443558,11.125,11.65424437,0.0,0.452466302,89.0,91.08666868,8.0,7.81575071,12.0,10.49632411,6,"Thomas has been in the NFL for three seasons and has finished each of them as a top 7 fantasy wide receiver. Thomas has ranked top 7 at the position in targets, receptions and yardage during each of the past two seasons. He paced the league with 125 receptions last season thanks to an otherworldly 84 percent catch rate. Thanks, in part, to super-accurate Drew Brees, Thomas has posted a catch rate of at least 72 percent during each of his three NFL seasons. Thomas has yet to reach double-digit touchdowns and has never cleared seven end zone targets in a season, but his elite efficiency and hefty target volume in the Saints' high-scoring offense is plenty enough to allow top-end fantasy production. He's a solid first-round target."
25.0,,,Ezekiel Elliott,7.670000000000002,RB,5,DAL,17.33,,,,,,,,,,,,,6,"An absolute workhorse since entering the NFL in 2016, Elliott has played just under 90 percent of Dallas' snaps and handled over 80 percent of the carries when active over the past two seasons. That's led to a league-high 868 carries despite Elliott having missed eight games during that span. Elliott's game reached a new level last season as he easily reached career highs in targets (94), receptions (77) and receiving yards (567). Elliott led all backs in touches (381) and was second in scrimmage yards (2,001). His underwhelming usage near the goal line remains a concern (his 10 carries inside the 5 ranked 17th last season). Nonetheless, Elliott is a young, high-end talent set for a ton of volume. With his contract situation resolved, he should be off the board in the top 4 of every draft."
18.0,0.0,0.037365093,Julio Jones,1.1900000000000013,WR,6,ATL,16.81,0.0,0.021472199,13.5,14.85134275,0.0,0.486974711,108.0,87.33683078,8.0,5.880736323,9.0,9.357320381,6,"Say what you want about Jones' occasional touchdown deficiencies, he arguably has been the league's best wide receiver since entering the league in 2011. Incredibly, Jones' yards per target has ranked inside the top 20 wide receivers all eight seasons of his career. Despite an unlucky 2017 season in the touchdown department (3 TDs, 8.4 OTD), Jones predictably regressed to the mean and found paydirt eight times (8.0 OTD) in 2018. He finished fourth in fantasy points and hasn't finished a season worse than seventh since 2013. Jones is 30, but his game hasn't slipped, and a role that allowed a position-best eight top 10 fantasy weeks in 2018 is unlikely to change. He's a rock solid top 5 fantasy wideout."
16.0,0.0,0.035086327,DeAndre Hopkins,-1.2800000000000011,WR,7,HOU,17.28,1.0,0.018605435,6.111,12.83848156,0.0,0.503545768,55.0,80.75719914,9.0,6.290245368,12.0,9.673444152,6,"Hopkins has been the No. 2 scoring fantasy wide receiver during each of the past two seasons and has finished in the top 4 three of the past four seasons. Hopkins has been a workhorse, ranking no lower than sixth in targets, receptions, yardage, touchdowns and end zone targets during each of the past two seasons. He has topped the position in OTD both seasons. Finally attached to a quality quarterback for a full season, Hopkins caught a career-high 70 percent of his targets in 2018. Hopkins has managed a massive 35 percent target share over the past two seasons. That could drop some with Kenny Stills, Will Fuller V and Keke Coutee in the mix, but Hopkins will still rank at or near the top of the position in the category. The sure-handed 27-year-old remains an elite fantasy asset."
13.0,,,Dalvin Cook,-7.609999999999999,RB,2,MIN,20.61,,,,,,,,,,,,,6,"Now two seasons into his NFL career, Cook has made it through only 13 games healthy. Though durability is obviously a concern, volume and efficiency are not. During those 13 weeks, Cook handled 61 percent of the team's designed runs (14.2 per game) and 14 percent of the targets (4.7 per game). He's averaging 4.7 YPC (2.1 YAC) on 207 career attempts. Cook has yet to emerge as a consistent fantasy threat, but did post the seventh-most fantasy points at the position after Week 12 last season, which aligned both with his return to full health and Minnesota's move to a run-first offense. Minnesota is expected to operate a run-heavy scheme in 2019, and Cook has minimal competition for touches. He's a breakout candidate and strong RB2."
9.0,,,Travis Kelce,-7.989999999999998,TE,3,KC,16.99,,,,,,,,,,,,,6,"Kelce set career-high marks in pass routes (530), targets (149), receptions (103), receiving yards (1,336) and touchdowns (10) last season. As incredible as that achievement is, he did this after already leading all tight ends in fantasy points each of the previous two seasons. Since missing his rookie season with a knee injury, Kelce has finished a season no lower than eighth at the position in receptions, no lower than sixth in receiving yards, no lower than 12th in touchdowns and no lower than ninth in yards per target. The three-time No. 1 fantasy tight end handled 26 percent of Kansas City's targets last season and should be in that range again in 2019. The 29-year-old is your top option at the position and worth a look in the second round of your draft."
21.0,,,Christian McCaffrey,-5.050000000000001,RB,1,CAR,26.05,,,,,,,,,,,,,6,"If not for being rested during a meaningless Week 17 game, McCaffrey would've led all backs in fantasy points last season. The Stanford product took his game to a new level in 2018, playing an almost unheard of 97 percent of Carolina's snaps through Week 16. He finished 10th among backs in rushing attempts (219) and was first in targets (124), receptions (107) and receiving yards (867). McCaffrey had at least five receiving touchdowns for the second year in a row. He improved his yards per carry from 3.7 to 5.0 and his catch rate from 73 percent to 86 percent. The 23-year-old does it all and is well worth the early-first-round fantasy investment."
27.0,,,David Johnson,9.719999999999999,RB,8,ARI,17.28,,,,,,,,,,,,,6,"Johnson's career has hit a snag since he dominated the fantasy scene in 2016, pacing all backs in snaps, touches, yardage, touchdowns and fantasy points. An injury cost him all but 43 snaps in 2017, and inefficient play in a weak offense limited him to only two top-10 fantasy weeks (24 backs had more) in 2018. Johnson's yards per carry plummeted to 3.64, his YAC to 1.44 (seventh-worst among running backs) and his catch rate to 66 percent (second-worst). On the plus side, Johnson ranked top-five at the position in snaps (714) and touches (308), which allowed him his third top-10 fantasy campaign in four seasons. The 27-year-old workhorse is expected to retain a hefty role in new coach Kliff Kingsbury's offense. An intriguing bounce-back candidate, Johnson is a mid-pack RB1."
0.0,,,Saquon Barkley,0.0,RB,29,NYG,0.0,,,,,,,,,,,,,6,"Barkley was the second overall pick in the 2018 NFL draft and it's fair to say he'll be the first overall pick in most 2019 fantasy drafts. Barkley was a workhorse as a rookie, racking up 261 carries (second-most among running backs) and 119 targets (third-most), while pacing the position in routes (458), scrimmage yards (2,028) and fantasy points (386). Barkley finished worse than 13th at the position in fantasy points in only two weeks. He was on the field for 83 percent of the Giants' snaps, handled 75 percent of the designed runs and took on 21 percent of the targets. That workhorse usage isn't expected to change in what could be an even run-heavier offense in 2019. Barkley is the top asset in fantasy."
0.0,,,Todd Gurley II,0.0,RB,18,LAR,0.0,,,,,,,,,,,,,6,"After Gurley was the consensus No. 1 overall pick in 2018 fantasy drafts, his stock is down following an injury-fueled slow finish to the season. Gurley is expected to be fully healthy for 2019, of course, which means you may actually be able to get a discount on a player who scored 21 touchdowns in 14 games last season. The 24-year-old workhorse missed two games but still ranked fourth among backs in snaps, touches and scrimmage yards. He has paced running backs in fantasy points per game and top-10 fantasy weeks each of the past two seasons. Concerns about Gurley's knee remain, which has knocked down his fantasy stock, but his massive fantasy upside makes him a fine choice in Round 2."
