week,name,projected_points,actual_points,point_diff,pro_team,position,position_rank,weekly_outlook,receptions,rec_yards,rec_tds,rec_2pt_conversion,targets,rec_avg_yards,fumbles,receptions_proj,rec_yards_proj,rec_tds_proj,rec_2pt_conversion_proj,targets_proj,rec_avg_yards_proj,fumbles_proj
9,Christian McCaffrey,24.16,37.0,12.84,CAR,RB,1,"If not for being rested during a meaningless Week 17 game, McCaffrey would've led all backs in fantasy points last season. The Stanford product took his game to a new level in 2018, playing an almost unheard of 97 percent of Carolina's snaps through Week 16. He finished 10th among backs in rushing attempts (219) and was first in targets (124), receptions (107) and receiving yards (867). McCaffrey had at least five receiving touchdowns for the second year in a row. He improved his yards per carry from 3.7 to 5.0 and his catch rate from 73 percent to 86 percent. The 23-year-old does it all and is well worth the early-first-round fantasy investment.",,,,,,,,,,,,,,
9,Michael Thomas,0.0,0.0,0.0,NO,WR,1,"Thomas has been in the NFL for three seasons and has finished each of them as a top 7 fantasy wide receiver. Thomas has ranked top 7 at the position in targets, receptions and yardage during each of the past two seasons. He paced the league with 125 receptions last season thanks to an otherworldly 84 percent catch rate. Thanks, in part, to super-accurate Drew Brees, Thomas has posted a catch rate of at least 72 percent during each of his three NFL seasons. Thomas has yet to reach double-digit touchdowns and has never cleared seven end zone targets in a season, but his elite efficiency and hefty target volume in the Saints' high-scoring offense is plenty enough to allow top-end fantasy production. He's a solid first-round target.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Ezekiel Elliott,20.93,13.0,-7.93,DAL,RB,4,"An absolute workhorse since entering the NFL in 2016, Elliott has played just under 90 percent of Dallas' snaps and handled over 80 percent of the carries when active over the past two seasons. That's led to a league-high 868 carries despite Elliott having missed eight games during that span. Elliott's game reached a new level last season as he easily reached career highs in targets (94), receptions (77) and receiving yards (567). Elliott led all backs in touches (381) and was second in scrimmage yards (2,001). His underwhelming usage near the goal line remains a concern (his 10 carries inside the 5 ranked 17th last season). Nonetheless, Elliott is a young, high-end talent set for a ton of volume. With his contract situation resolved, he should be off the board in the top 4 of every draft.",,,,,,,,,,,,,,
9,Travis Kelce,12.87,13.0,0.13000000000000078,KC,TE,1,"Kelce set career-high marks in pass routes (530), targets (149), receptions (103), receiving yards (1,336) and touchdowns (10) last season. As incredible as that achievement is, he did this after already leading all tight ends in fantasy points each of the previous two seasons. Since missing his rookie season with a knee injury, Kelce has finished a season no lower than eighth at the position in receptions, no lower than sixth in receiving yards, no lower than 12th in touchdowns and no lower than ninth in yards per target. The three-time No. 1 fantasy tight end handled 26 percent of Kansas City's targets last season and should be in that range again in 2019. The 29-year-old is your top option at the position and worth a look in the second round of your draft.",,,,,,,,,,,,,,
9,Julio Jones,0.0,0.0,0.0,ATL,WR,4,"Say what you want about Jones' occasional touchdown deficiencies, he arguably has been the league's best wide receiver since entering the league in 2011. Incredibly, Jones' yards per target has ranked inside the top 20 wide receivers all eight seasons of his career. Despite an unlucky 2017 season in the touchdown department (3 TDs, 8.4 OTD), Jones predictably regressed to the mean and found paydirt eight times (8.0 OTD) in 2018. He finished fourth in fantasy points and hasn't finished a season worse than seventh since 2013. Jones is 30, but his game hasn't slipped, and a role that allowed a position-best eight top 10 fantasy weeks in 2018 is unlikely to change. He's a rock solid top 5 fantasy wideout.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,DeAndre Hopkins,18.56,18.0,-0.5599999999999987,HOU,WR,3,"Hopkins has been the No. 2 scoring fantasy wide receiver during each of the past two seasons and has finished in the top 4 three of the past four seasons. Hopkins has been a workhorse, ranking no lower than sixth in targets, receptions, yardage, touchdowns and end zone targets during each of the past two seasons. He has topped the position in OTD both seasons. Finally attached to a quality quarterback for a full season, Hopkins caught a career-high 70 percent of his targets in 2018. Hopkins has managed a massive 35 percent target share over the past two seasons. That could drop some with Kenny Stills, Will Fuller V and Keke Coutee in the mix, but Hopkins will still rank at or near the top of the position in the category. The sure-handed 27-year-old remains an elite fantasy asset.",8.0,48.0,1.0,0.0,11.0,6.0,0.0,7.168126151,84.75901664,0.568888341,0.02184468,10.47096558,11.8244315,0.030945847
9,Alvin Kamara,0.0,0.0,0.0,NO,RB,11,"Following as efficient a season as you'll find for any running back (let alone a rookie) in 2017, Kamara's 2018 went about as expected: He regressed to the mean, but still played at a high level and was a terrific fantasy asset. The former third-round pick finished top-eight among backs in snaps (628), touches (275), scrimmage yards (1592), offensive touchdowns (18) and fantasy points (354). Kamara has yet to clear 200 carries in a season, but he has caught 81 passes in both of his NFL seasons and saw a significant uptick in work near the goal line last season (his 14.5 OTD ranked second in the league). Kamara's role won't change much with Latavius Murray added to replace Mark Ingram II. The 23-year-old back remains a solid RB1 option.",,,,,,,,,,,,,,
9,Tyreek Hill,12.95,26.0,13.05,KC,WR,29,"Hill has seen his production increase during each of his NFL seasons. Fantasy's No. 19 scoring receiver as a rookie in 2016, Hill climbed to eighth in 2017 and to first in 2018. Though Hill's usage has progressively increased, he has made his hay with outstanding efficiency. He paced all wide receivers with an 11.5 YPT in 2017 and finished fifth at 10.9 last season. He also has ranked top 12 in YPR and RAC both seasons, while actually reaching a career high 14.7 aDOT last season (eighth highest). The versatile Hill has ranked second among wideouts in carries during each of his three seasons and has added four rushing and five return touchdowns along the way. Hill is a mid-range WR1 with upside to again pace the position in fantasy points.",6.0,140.0,1.0,0.0,9.0,23.333,0.0,5.098855656,69.84697125,0.250552147,0.008782632,7.926754671,13.69855826,0.027804083
9,Davante Adams,17.06,11.0,-6.059999999999999,GB,WR,32,"Adams took his game to another level in 2018. In fact, before missing Week 17 because of an injury, Adams was the No. 1 scoring fantasy wide receiver. Incredibly, Adams ranked in the top 18 among wide receivers in all but one week last season (27th in Week 4) aside from the one week he missed. In addition to catching 13 touchdowns (second most), Adams ranked fourth at the position in routes (618), fourth in targets (164), fifth in receptions (111) and sixth in receiving yards (1,386). Adams has hauled in 35 touchdowns over the past three seasons, which trails only Antonio Brown for most in the league. Adams has done this damage despite missing at least one game three of the past four seasons. The 26-year-old soaked up a massive 30 percent target share last season and has little competition for targets again in 2019. He's a fine choice in the middle of the first round.",7.0,41.0,0.0,0.0,11.0,5.857,0.0,5.840076326,82.30614486,0.538350044,0.025402648,8.838818676,14.09333376,0.029496412
9,Saquon Barkley,18.27,14.0,-4.27,NYG,RB,12,"Barkley was the second overall pick in the 2018 NFL draft and it's fair to say he'll be the first overall pick in most 2019 fantasy drafts. Barkley was a workhorse as a rookie, racking up 261 carries (second-most among running backs) and 119 targets (third-most), while pacing the position in routes (458), scrimmage yards (2,028) and fantasy points (386). Barkley finished worse than 13th at the position in fantasy points in only two weeks. He was on the field for 83 percent of the Giants' snaps, handled 75 percent of the designed runs and took on 21 percent of the targets. That workhorse usage isn't expected to change in what could be an even run-heavier offense in 2019. Barkley is the top asset in fantasy.",,,,,,,,,,,,,,
